lyhenne;tieteellinen;suomalainen;ruotsalainen
CARHOR;Carduelis hornemanni;tundraurpiainen;snösiska
CARMEA;Carduelis flammea;urpiainen;gråsiska
CARRIS;Carduelis flavirostris;vuorihemppo;vinterhämpling
CARSP;Carduelis sp;tiklilaji;Carduelis (släktet)
CARSPI;Carduelis spinus;vihervarpunen;grönsiska
CEPGRY;Cepphus grylle;riskilä;tobisgrissla
CERFAM;Certhia familiaris;puukiipijä;trädkrypare
CERGAL;Cercotrichas galactotes;ruostepyrstö;trädnäktergal
CHAALE;Charadrius alexandrinus;mustajalkatylli;svartbent strandpipare
CHAASI;Charadrius asiaticus;kaspiantylli;kaspisk pipare
CHADUB;Charadrius dubius;pikkutylli;mindre strandpipare
CHAHIA;Charadrius hiaticula;tylli;större strandpipare
CHALES;Charadrius leschenaultii;aavikkotylli;ökenpipare
CHAMON;Charadrius mongolus;ylänkötylli;mongolpipare
CHAMOR;Charadrius morinellus;keräkurmitsa;fjällpipare
CHLMAC;Chlamydotis macqueenii;idänkaulustrappi;kragtrapp
CHLNIG;Chlidonias niger;mustatiira;svarttärna
CICCIC;Ciconia ciconia;kattohaikara;vit stork
CICNIG;Ciconia nigra;mustahaikara;svart stork
CINCIN;Cinclus cinclus;koskikara;strömstare
CIRAER;Circus aeruginosus;ruskosuohaukka;brun kärrhök
CIRCYA;Circus cyaneus;sinisuohaukka;blå kärrhök
CIRGAL;Circaetus gallicus;käärmekotka;ormörn
CIRMAC;Circus macrourus;arosuohaukka;stäpphök
CIRPYG;Circus pygargus;niittysuohaukka;ängshök
CLAHYE;Clangula hyemalis;alli;alfågel
COCCOC;Coccothraustes coccothraustes;nokkavarpunen;stenknäck
COLLIV;Columba livia;kesykyyhky;tamduva
COLOEN;Columba oenas;uuttukyyhky;skogsduva
COLPAL;Columba palumbus;sepelkyyhky;ringduva
CORFRU;Corvus frugilegus;mustavaris;råka
CORGAR;Coracias garrulus;sininärhi;blåkråka
CORMON;Corvus monedula;naakka;kaja
CORNIX;Corvus corone;varis;kråka
CORONEONE;Corvus corone corone;nokivaris;kråka (rasen corone)
CORRAX;Corvus corax;korppi;korp
COTCOT;Coturnix coturnix;viiriäinen;vaktel
CRECRE;Crex crex;ruisrääkkä;kornknarr
CUCCAN;Cuculus canorus;käki;gök
CYGATR;Cygnus atratus;mustajoutsen;svart svan
CYGCOL;Cygnus columbianus;pikkujoutsen;mindre sångsvan
CYGCYG;Cygnus cygnus;laulujoutsen;sångsvan
CYGOLO;Cygnus olor;kyhmyjoutsen;knölsvan
DELURB;Delichon urbicum;räystäspääsky;hussvala
DENLEU;Dendrocopos leucotos;valkoselkätikka;vitryggig hackspett
DENMAJ;Dendrocopos major;käpytikka;större hackspett
DENMIN;Dendrocopos minor;pikkutikka;mindre hackspett
DRYMAR;Dryocopus martius;palokärki;spillkråka
EGRALB;Egretta alba;jalohaikara;ägretthäger
EGRGAR;Egretta garzetta;silkkihaikara;silkeshäger
EMBAUR;Emberiza aureola;kultasirkku;gyllensparv
EMBBRU;Emberiza bruniceps;ruskopääsirkku;stäppsparv
EMBBUC;Emberiza buchanani;kivikkosirkku;bergortolansparv
EMBCAE;Emberiza caesia;ruostekurkkusirkku;rostsparv
EMBCAL;Emberiza calandra;harmaasirkku;kornsparv
EMBCIO;Emberiza cioides;niittysirkku;ängssparv
EMBCIT;Emberiza citrinella;keltasirkku;gulsparv
EMBHOR;Emberiza hortulana;peltosirkku;ortolansparv
EMBLEU;Emberiza leucocephalos;mäntysirkku;tallsparv
EMBMEL;Emberiza melanocephala;mustapääsirkku;svarthuvad sparv
EMBPUS;Emberiza pusilla;pikkusirkku;dvärgsparv
EMBRUS;Emberiza rustica;pohjansirkku;videsparv
EMBRUT;Emberiza rutila;kastanjasirkku;rödbrun sparv
EMBSCH;Emberiza schoeniclus;pajusirkku;sävsparv
EREALP;Eremophila alpestris;tunturikiuru;berglärka
ERIRUB;Erithacus rubecula;punarinta;rödhake
FALCOL;Falco columbarius;ampuhaukka;stenfalk
FALPER;Falco peregrinus;muuttohaukka;pilgrimsfalk
FALRUS;Falco rusticolus;tunturihaukka;jaktfalk
FALSUB;Falco subbuteo;nuolihaukka;lärkfalk
FALTIN;Falco tinnunculus;tuulihaukka;tornfalk
FALVES;Falco vespertinus;punajalkahaukka;aftonfalk
FICALB;Ficedula albicollis;sepelsieppo;halsbandsflugsnappare
FICHYP;Ficedula hypoleuca;kirjosieppo;svartvit flugsnappare
FICPAR;Ficedula parva;pikkusieppo;mindre flugsnappare
FRAARC;Fratercula arctica;lunni;lunnefågel
FRICOE;Fringilla coelebs;peippo;bofink
FRIMON;Fringilla montifringilla;järripeippo;bergfink
FULATR;Fulica atra;nokikana;sothöna
FULGLA;Fulmarus glacialis;myrskylintu;stormfågel
GALCHL;Gallinula chloropus;liejukana;rörhöna
GALCRI;Galerida cristata;töyhtökiuru;tofslärka
GALGAL;Gallinago gallinago;taivaanvuohi;enkelbeckasin
GALMED;Gallinago media;heinäkurppa;dubbelbeckasin
GARGLA;Garrulus glandarius;närhi;nötskrika
GAVADA;Gavia adamsii;jääkuikka;vitnäbbad islom
GAVARC;Gavia arctica;kuikka;storlom
GAVIMM;Gavia immer;amerikanjääkuikka;svartnäbbad islom
GAVSTE;Gavia stellata;kaakkuri;smålom
GLAPAS;Glaucidium passerinum;varpuspöllö;sparvuggla
GRUCAN;Grus canadensis;hietakurki;prärietrana
GRUGRU;Grus grus;kurki;trana
GRUVIR;Grus virgo;neitokurki;jungfrutrana
GYPFUL;Gyps fulvus;hanhikorppikotka;gåsgam
GYPSP;Gyps sp;korppikotkalaji;Gyps (släktet)
HAEOST;Haematopus ostralegus;meriharakka;strandskata
HAL/AQU;Haliaetus / Aquila;kotkalaji;ob. örn
HALALB;Haliaeetus albicilla;merikotka;havsörn
HALHUS;Haliaeetus leucoryphus;aromerikotka;bandhavsörn
HIPICT;Hippolais icterina;kultarinta;härmsångare
HIRRUS;Hirundo rustica;haarapääsky;ladusvala
HYDCAS;Hydroprogne caspia;räyskä;skräntärna
HYDMIN;Hydrocoloeus minutus;pikkulokki;dvärgmås
JYNTOR;Jynx torquilla;käenpiika;göktyta
LAGLAG;Lagopus lagopus;riekko;dalripa
LAGMUT;Lagopus muta;kiiruna;fjällripa
LANCOL;Lanius collurio;pikkulepinkäinen;törnskata
LANEXC;Lanius excubitor;isolepinkäinen;varfågel
LARARG;Larus argentatus;harmaalokki;gråtrut
LARCAN;Larus canus;kalalokki;fiskmås
LARFUS;Larus fuscus;selkälokki;silltrut
LARGLA;Larus glaucoides;grönlanninlokki;vitvingad trut
LARHYP;Larus hyperboreus;isolokki;vittrut
LARMAR;Larus marinus;merilokki;havstrut
LARRID;Larus ridibundus;naurulokki;skrattmås
LARSCH;Larus schistisagus;ohotanlokki;skiffertrut
LIMFAL;Limicola falcinellus;jänkäsirriäinen;myrsnäppa
LIMLAP;Limosa lapponica;punakuiri;myrspov
LIMLIM;Limosa limosa;mustapyrstökuiri;rödspov
LIMSCO;Limnodromus scolopaceus;tundrakurppelo;större beckasinsnäppa
LOCFLU;Locustella fluviatilis;viitasirkkalintu;flodsångare
LOCLAN;Locustella lanceolata;viirusirkkalintu;träsksångare
LOCLUS;Locustella luscinioides;ruokosirkkalintu;vassångare
LOCNAE;Locustella naevia;pensassirkkalintu;gräshoppsångare
LOXCUR;Loxia curvirostra;pikkukäpylintu;mindre korsnäbb
LOXLEU;Loxia leucoptera;kirjosiipikäpylintu;bändelkorsnäbb
LOXPYT;Loxia pytyopsittacus;isokäpylintu;större korsnäbb
LULARB;Lullula arborea;kangaskiuru;trädlärka
LUSLUS;Luscinia luscinia;satakieli;näktergal
LUSMEG;Luscinia megarhynchos;etelänsatakieli;sydnäktergal
LUSSVE;Luscinia svecica;sinirinta;blåhake
LYMMIN;Lymnocryptes minimus;jänkäkurppa;dvärgbeckasin
MELAME;Melanitta americana;amerikanmustalintu;amerikansk sjöorre
MELCAL;Melanocorypha calandra;arokiuru;kalanderlärka
MELDEG;Melanitta deglandi;kyhmypilkkasiipi;knölsvärta
MELFUS;Melanitta fusca;pilkkasiipi;svärta
MELNIG;Melanitta nigra;mustalintu;sjöorre
MELPER;Melanitta perspicillata;pilkkaniska;vitnackad svärta
MERALB;Mergellus albellus;uivelo;salskrake
MERAPI;Merops apiaster;mehiläissyöjä;biätare
MERMER;Mergus merganser;isokoskelo;storskrake
MERSER;Mergus serrator;tukkakoskelo;småskrake
MILMIG;Milvus migrans;haarahaukka;brun glada
MILMIL;Milvus milvus;isohaarahaukka;röd glada
MORBAS;Morus bassanus;suula;havssula
MOTALB;Motacilla alba;västäräkki;sädesärla
MOTCIN;Motacilla cinerea;virtavästäräkki;forsärla
MOTCIT;Motacilla citreola;sitruunavästäräkki;citronärla
MOTFLA;Motacilla flava;keltavästäräkki;gulärla
MUSSTR;Muscicapa striata;harmaasieppo;grå flugsnappare
NEOPER;Neophron percnopterus;pikkukorppikotka;smutsgam
NETRUF;Netta rufina;punapäänarsku;rödhuvad dykand
NUCCAR;Nucifraga caryocatactes;pähkinähakki;nötkråka
NUMARQ;Numenius arquata;kuovi;storspov
NUMMEL;Numida meleagris;helmikana;hjälmpärlhöna
NUMPHA;Numenius phaeopus;pikkukuovi;småspov
OCELEU;Oceanodroma leucorhoa;myrskykeiju;klykstjärtad stormsvala
OENDES;Oenanthe deserti;aavikkotasku;ökenstenskvätta
OENHIS;Oenanthe hispanica;rusotasku;medelhavsstenskvätta
OENISA;Oenanthe isabellina;arotasku;isabellastenskvätta
OENOEN;Oenanthe oenanthe;kivitasku;stenskvätta
OENPLE;Oenanthe pleschanka;nunnatasku;nunnestenskvätta
OENSP;Oenanthe sp;kivitaskulaji;Oenanthe (släktet)
ORIORI;Oriolus oriolus;kuhankeittäjä;sommargylling
OTITAR;Otis tarda;isotrappi;stortrapp
OTUSCO;Otus scops;kyläpöllönen;dvärguv
OXYJAM;Oxyura jamaicensis;kuparisorsa;amerikansk kopparand
PANBIA;Panurus biarmicus;viiksitimali;skäggmes
PANHAL;Pandion haliaetus;sääksi;fiskgjuse
PARATE;Parus ater;kuusitiainen;svartmes
PARCAE;Parus caeruleus;sinitiainen;blåmes
PARCIN;Parus cinctus;lapintiainen;lappmes
PARCRI;Parus cristatus;töyhtötiainen;tofsmes
PARCYA;Parus cyanus;valkopäätiainen;azurmes
PARMAJ;Parus major;talitiainen;talgoxe
PARMON;Parus montanus;hömötiainen;talltita
PARPAL;Parus palustris;viitatiainen;entita
PASDOM;Passer domesticus;varpunen;gråsparv
PASMON;Passer montanus;pikkuvarpunen;pilfink
PELONO;Pelecanus onocrotalus;pelikaani;vit pelikan
PERAPI;Pernis apivorus;mehiläishaukka;bivråk
PERINF;Perisoreus infaustus;kuukkeli;lavskrika
PERPER;Perdix perdix;peltopyy;rapphöna
PHAARI;Phalacrocorax aristotelis;karimetso;toppskarv
PHACAR;Phalacrocorax carbo;merimetso;storskarv
PHACOL;Phasianus colchicus;fasaani;fasan
PHALOB;Phalaropus lobatus;vesipääsky;smalnäbbad simsnäppa
PHIPUG;Philomachus pugnax;suokukko;brushane
PHOOCH;Phoenicurus ochruros;mustaleppälintu;svart rödstjärt
PHOPHO;Phoenicurus phoenicurus;leppälintu;rödstjärt
PHYBON;Phylloscopus bonelli;vuoriuunilintu;bergsångare
PHYBOR;Phylloscopus borealis;lapinuunilintu;nordsångare
PHYCOL;Phylloscopus collybita;tiltaltti;gransångare
PHYCOLTRI;Phylloscopus collybita tristis;idäntiltaltti;gransångare (rasen tristis)
PHYDES;Phylloscopus trochiloides;idänuunilintu;lundsångare
PHYFUS;Phylloscopus fuscatus;ruskouunilintu;brunsångare
PHYINO;Phylloscopus inornatus;taigauunilintu;taigasångare
PHYLUS;Phylloscopus trochilus;pajulintu;lövsångare
PHYSIB;Phylloscopus sibilatrix;sirittäjä;grönsångare
PICCAN;Picus canus;harmaapäätikka;gråspett
PICPIC;Pica pica;harakka;skata
PICTRI;Picoides tridactylus;pohjantikka;tretåig hackspett
PICUSSP;Picus sp;vihertikkalaji;Picus (släktet)
PICVIR;Picus viridis;vihertikka;gröngöling
PINENU;Pinicola enucleator;taviokuurna;tallbit
PLALEU;Platalea leucorodia;kapustahaikara;skedstork
PLENIV;Plectrophenax nivalis;pulmunen;snösparv
PLUAPR;Pluvialis apricaria;kapustarinta;ljungpipare
PLUSQU;Pluvialis squatarola;tundrakurmitsa;kustpipare
PODAUR;Podiceps auritus;mustakurkku-uikku;svarthakedopping
PODCRI;Podiceps cristatus;silkkiuikku;skäggdopping
PODGRI;Podiceps grisegena;härkälintu;gråhakedopping
POLSTE;Polysticta stelleri;allihaahka;alförrädare
PORPOR;Porzana porzana;luhtahuitti;småfläckig sumphöna
PRUMOD;Prunella modularis;rautiainen;järnsparv
PYRPYR;Pyrrhula pyrrhula;punatulkku;domherre
RALAQU;Rallus aquaticus;luhtakana;vattenrall
RECAVO;Recurvirostra avosetta;avosetti;skärfläcka
REGREG;Regulus regulus;hippiäinen;kungsfågel
REMPEN;Remiz pendulinus;pussitiainen;pungmes
RIPRIP;Riparia riparia;törmäpääsky;backsvala
RISTRI;Rissa tridactyla;pikkukajava;tretåig mås
SAXTRA;Saxicola rubetra;pensastasku;buskskvätta
SCORUS;Scolopax rusticola;lehtokurppa;morkulla
SITEUR;Sitta europaea;pähkinänakkeli;nötväcka
SOMMOL;Somateria mollissima;haahka;ejder
SOMSPE;Somateria spectabilis;kyhmyhaahka;praktejder
STEAEA;Sterna paradisaea;lapintiira;silvertärna
STEALB;Sternula albifrons;pikkutiira;småtärna
STECUS;Stercorarius parasiticus;merikihu;kustlabb
STEHIR;Sterna hirundo;kalatiira;fisktärna
STELON;Stercorarius longicaudus;tunturikihu;fjällabb
STEPOM;Stercorarius pomarinus;leveäpyrstökihu;bredstjärtad labb
STESKU;Stercorarius skua;isokihu;storlabb
STRALU;Strix aluco;lehtopöllö;kattuggla
STRDEC;Streptopelia decaocto;turkinkyyhky;turkduva
STRNEB;Strix nebulosa;lapinpöllö;lappuggla
STRTUR;Streptopelia turtur;turturikyyhky;turturduva
STRURA;Strix uralensis;viirupöllö;slaguggla
STUVUL;Sturnus vulgaris;kottarainen;stare
SURULU;Surnia ulula;hiiripöllö;hökuggla
SYLATR;Sylvia atricapilla;mustapääkerttu;svarthätta
SYLBOR;Sylvia borin;lehtokerttu;trädgårdssångare
SYLCOM;Sylvia communis;pensaskerttu;törnsångare
SYLCUR;Sylvia curruca;hernekerttu;ärtsångare
TACRUF;Tachybaptus ruficollis;pikku-uikku;smådopping
TADTAD;Tadorna tadorna;ristisorsa;gravand
TARCYA;Tarsiger cyanurus;sinipyrstö;blåstjärt
TETBON;Tetrastes bonasia;pyy;järpe
TETRAX;Tetrax tetrax;pikkutrappi;småtrapp
TETRIX;Tetrao tetrix;teeri;orre
TETURO;Tetrao urogallus;metso;tjäder
TRIERY;Tringa erythropus;mustaviklo;svartsnäppa
TRIGLA;Tringa glareola;liro;grönbena
TRINEB;Tringa nebularia;valkoviklo;gluttsnäppa
TRIOCH;Tringa ochropus;metsäviklo;skogssnäppa
TRISTA;Tringa stagnatilis;lampiviklo;dammsnäppa
TRITOT;Tringa totanus;punajalkaviklo;rödbena
TROTRO;Troglodytes troglodytes;peukaloinen;gärdsmyg
TURILI;Turdus iliacus;punakylkirastas;rödvingetrast
TURMER;Turdus merula;mustarastas;koltrast
TURPHI;Turdus philomelos;laulurastas;taltrast
TURPIL;Turdus pilaris;räkättirastas;björktrast
TURTOR;Turdus torquatus;sepelrastas;ringtrast
TURVIS;Turdus viscivorus;kulorastas;dubbeltrast
TYTALB;Tyto alba;tornipöllö;tornuggla
UPUEPO;Upupa epops;harjalintu;härfågel
URIAAL;Uria aalge;etelänkiisla;sillgrissla
URILOM;Uria lomvia;pohjankiisla;spetsbergsgrissla
VANVAN;Vanellus vanellus;töyhtöhyyppä;tofsvipa
XENCIN;Xenus cinereus;rantakurvi;tereksnäppa
ZOODAU;Zoothera dauma;kirjorastas;guldtrast
